"","%IncMSE","%IncMSE.pval","IncNodePurity","IncNodePurity.pval"
"Unknown.105",2.4578400060303,0.0495049504950495,0.00965531942154755,0.386138613861386
"glycerol.3.phosphate",2.45625816775994,0.0297029702970297,0.0107676079336432,0.524752475247525
"Unknown.133",2.44419038670201,0.0099009900990099,0.00408364074131367,0.475247524752475
"shikimic.acid",2.44311626879839,0.0198019801980198,0.0143554713094308,0.316831683168317
"Unknown.032",2.4308432677361,0.0594059405940594,0.0144097009224082,0.465346534653465
"Unknown.103",2.42298189159347,0.0297029702970297,0.0301072915957843,0.198019801980198
"L.proline",2.40322902659318,0.128712871287129,0.0255383365975166,0.376237623762376
"Unknown.045",2.40077289758603,0.0594059405940594,0.00336776859554557,0.96039603960396
"caffeic.acid",2.38999470238114,0.0792079207920792,0.0057943814781378,0.910891089108911
"glycine",2.3309578513914,0.0396039603960396,0.00755068887552438,0.712871287128713
"Unknown.024",2.32879399969109,0.0198019801980198,0.00595089357254011,0.871287128712871
"Unknown.015",2.300494027936,0.099009900990099,0.00139147801708393,1
"nicotinic.acid",2.30030679064212,0.0594059405940594,0.00598712989701194,0.97029702970297
"Unknown.185",2.29987574687398,0.0594059405940594,0.00325777627989564,1
"Unknown.074",2.2575122114126,0.0495049504950495,0.0172395930324235,0.396039603960396
"Unknown.033",2.25696226287428,0.0396039603960396,0.015141233697926,0.445544554455446
"D.galactaric.acid",2.21882362358895,0.0693069306930693,0.0251222029476406,0.138613861386139
"cycloleucine",2.2001607613133,0.0891089108910891,0.00910094340585139,0.900990099009901
"Unknown.084",2.18139576991803,0.128712871287129,0.011622075066378,0.257425742574257
"Unknown.027",2.16629317088392,0.0693069306930693,0.00213782089663747,0.910891089108911
"X4.guanidinobutyric.acid",2.16380305771657,0.0891089108910891,0.00130570085786651,1
"Unknown.169",2.14992205360563,0.0297029702970297,0.00814853364809072,0.346534653465347
"Unknown.078",2.13096270854679,0.0594059405940594,0.0259017328909687,0.198019801980198
"melibiose",2.12372303330171,0.0594059405940594,0.0075091949102983,0.188118811881188
"Unknown.102",2.11735989815271,0.0594059405940594,0.00771001300212863,0.544554455445545
"Unknown.104",2.10900285482501,0.0891089108910891,0.013347814759422,0.257425742574257
"X2.hydroxypyridine",2.09836366065501,0.0792079207920792,0.00345355713672217,0.95049504950495
"Unknown.041",2.08634158577571,0.099009900990099,0.0263478986507134,0.267326732673267
"Unknown.091",2.06579937379778,0.0594059405940594,0.00426980914183739,0.930693069306931
"Unknown.090",2.0382983911364,0.099009900990099,0.0181647746149722,0.217821782178218
"ribitol",2.02963342285404,0.0495049504950495,0.00225098819478043,0.366336633663366
"L.glutamine",2.02088896956465,0.0693069306930693,0.00102135092954276,0.99009900990099
"DL.3.aminoisobutyric.acid",2.01417321745044,0.0297029702970297,0.00230902448369836,0.613861386138614
"Unknown.079",1.98181239333072,0.138613861386139,0.00131500168227987,1
"L.aspartic.acid",1.96853495383152,0.0891089108910891,0.00419545298374946,0.683168316831683
"Unknown.006",1.95392466747043,0.0891089108910891,0.00363764591582628,0.871287128712871
"D.glucuronic.acid",1.93462564952046,0.188118811881188,0.00252791701481438,1
"L.asparagine",1.9324007416058,0.108910891089109,0.00382470271783952,0.940594059405941
"L.serine",1.91562751924164,0.099009900990099,0.00330730481510526,0.891089108910891
"Unknown.184",1.85009830953546,0.0693069306930693,0.00670283339177263,0.693069306930693
"Unknown.156",1.84430092337617,0.099009900990099,0.000900856029925513,0.98019801980198
"Unknown.028",1.8355898551138,0.128712871287129,0.0170939300127651,0.415841584158416
"Unknown.017",1.80525207713612,0.178217821782178,0.00519473038041771,0.98019801980198
"Unknown.153",1.73089924355112,0.138613861386139,0.00219775392271609,0.97029702970297
"Unknown.179",1.72710912095014,0.178217821782178,0.00472276907255732,0.891089108910891
"Unknown.177",1.69616805434343,0.108910891089109,0.00101673440239038,0.98019801980198
"DL.4.hydroxymandelic.acid",1.6796855602327,0.188118811881188,0.00992276943535941,0.366336633663366
"L.threonine",1.65164674005313,0.138613861386139,0.00537625714705569,0.702970297029703
"D.threitol",1.64774370470343,0.168316831683168,0.00457439892458411,0.97029702970297
"Unknown.143",1.61955841555408,0.178217821782178,0.0182184087498466,0.217821782178218
"Unknown.057",1.6111773141937,0.148514851485149,0.00315185791586529,0.96039603960396
"Unknown.039",1.60294512398467,0.227722772277228,0.0105203542158807,0.722772277227723
"L.pyroglutamic.acid",1.59397981385098,0.148514851485149,0.00391096529803685,0.930693069306931
"L.ornithine",1.57113657303158,0.158415841584158,0.00155762972957905,1
"Unknown.170",1.57039613508251,0.0891089108910891,0.0052922139509575,0.326732673267327
"oxalic.acid",1.56670879763476,0.108910891089109,0.00613727394005573,0.762376237623762
"allantoin",1.56615897929913,0.118811881188119,0.0135757027816638,0.475247524752475
"Unknown.116",1.55415349084932,0.178217821782178,0.00841008358680943,0.405940594059406
"D.glucose",1.54959714183505,0.099009900990099,0.00479595388125124,1
"Unknown.118",1.54840751074002,0.168316831683168,0.0025187737626925,1
"L.isoleucine",1.54217458519785,0.217821782178218,0.00720530181217259,0.792079207920792
"Unknown.014",1.54089644768467,0.158415841584158,0.00407665893805802,1
"N.N.dimethylglycine",1.529214855978,0.108910891089109,0.00223953483626196,0.99009900990099
"mucic.acid",1.51142194616293,0.217821782178218,0.00488343713029687,0.643564356435644
"Unknown.122",1.50536010722712,0.257425742574257,0.00274856607326038,0.940594059405941
"Unknown.129",1.50438283274135,0.188118811881188,0.00740728925371101,0.702970297029703
"Unknown.072",1.50312378963131,0.297029702970297,0.00270652640709361,0.97029702970297
"Unknown.007",1.4951756961506,0.198019801980198,0.0106844277520584,0.564356435643564
"Unknown.059",1.47669243157055,0.188118811881188,0.0045525341346007,0.801980198019802
"Unknown.150",1.46752809604564,0.128712871287129,0.0085166497793232,0.247524752475248
"D.fructose.6.phosphate",1.42388093782102,0.108910891089109,0.0033461215540101,0.366336633663366
"D.glucose.6.phosphate",1.42045674957029,0.336633663366337,0.00241373823237155,0.98019801980198
"Unknown.093",1.41047648663886,0.118811881188119,0.00727360872668041,0.396039603960396
"Unknown.147",1.4092118255508,0.108910891089109,0.00372802417285,0.594059405940594
"Unknown.050",1.39907481834102,0.148514851485149,0.004709955961552,0.891089108910891
"D.gluconic.acid",1.38564204678239,0.247524752475248,0.0016394227420278,1
"Unknown.080",1.37145867714269,0.267326732673267,0.00653087602389964,0.871287128712871
"melezitose",1.36242542032921,0.158415841584158,0.00680024671312737,0.306930693069307
"X4.hydroxyphenylacetic.acid",1.35939287297107,0.227722772277228,0.00277973432489035,0.99009900990099
"Unknown.068",1.35342059080835,0.247524752475248,0.00324367220947047,0.97029702970297
"Unknown.123",1.34375851019738,0.188118811881188,0.00796772467724196,0.287128712871287
"Unknown.087",1.34047345939346,0.168316831683168,0.00582160398878628,0.871287128712871
"D.maltitol",1.33512127990167,0.247524752475248,0.00183751424987034,0.98019801980198
"glycolic.acid",1.31830601039458,0.198019801980198,0.00283366816529568,0.96039603960396
"Unknown.038",1.30622337767081,0.237623762376238,0.00355890273268382,1
"Unknown.049",1.30593505272532,0.257425742574257,0.00531581864603041,0.702970297029703
"Unknown.035",1.30340662463624,0.237623762376238,0.0059748388911879,0.732673267326733
"Unknown.117",1.2965274354198,0.297029702970297,0.00277153229820221,0.910891089108911
"Unknown.157",1.29538019591166,0.306930693069307,0.00591421119955524,0.871287128712871
"pyruvic.acid",1.29164197106009,0.158415841584158,0.00431150318769452,0.99009900990099
"L.alanine",1.28581144577062,0.198019801980198,0.00421121113136502,0.930693069306931
"Unknown.026",1.28579216591238,0.247524752475248,0.00257254394822564,0.98019801980198
"Unknown.089",1.27226454711491,0.178217821782178,0.00104544638155505,1
"inosine",1.24453005137931,0.148514851485149,0.0020245825049035,0.633663366336634
"Unknown.067",1.24311629684326,0.188118811881188,0.00353118951633865,0.99009900990099
"Unknown.158",1.23135168569841,0.257425742574257,0.00680245825081934,0.396039603960396
"maltose",1.2294740098654,0.247524752475248,0.00285077473101505,0.910891089108911
"benzoic.acid",1.22152180705817,0.198019801980198,0.000972192970296593,1
"Unknown.037",1.21462410137434,0.158415841584158,0.00251119612075056,0.98019801980198
"adenosine",1.21427438961007,0.247524752475248,0.0026264710458778,0.95049504950495
"ribose",1.2096757462035,0.217821782178218,0.00547035797650324,0.910891089108911
"L.phenylalanine",1.19478927031336,0.376237623762376,0.00658175418816665,0.673267326732673
"adenine",1.17332857177685,0.128712871287129,1.73120548278983e-05,0.99009900990099
"fructose",1.14155995995557,0.306930693069307,0.010758593434365,0.445544554455446
"Unknown.016",1.1322149042701,0.237623762376238,0.00427509419755701,0.99009900990099
"X3.4.dihydroxybenzoic.acid",1.12131468870218,0.257425742574257,0.0052133563270278,0.801980198019802
"sedoheptulose",1.11433458083745,0.287128712871287,0.00191348493842487,1
"dehydroascorbic.acid",1.11232226400888,0.158415841584158,0.0032091120867948,0.97029702970297
"Unknown.120",1.11009948807148,0.297029702970297,0.00580498361304756,0.673267326732673
"Unknown.029",1.10889740546435,0.198019801980198,0.00583472373393585,0.831683168316832
"Unknown.034",1.1074801879615,0.198019801980198,0.00619070755715052,0.851485148514851
"citraconic.acid",1.10614509219804,0.287128712871287,0.0013635591099355,0.97029702970297
"Unknown.098",1.09275507099385,0.287128712871287,0.0017450892144976,0.930693069306931
"Unknown.181",1.09229499047947,0.257425742574257,0.00515649520072661,0.534653465346535
"Unknown.176",1.09167538103477,0.0693069306930693,0.000728356498321505,0.99009900990099
"X2.hydroxyglutaric.acid",1.0711282510634,0.287128712871287,0.00498413078447013,0.900990099009901
"lactate",1.07092950166851,0.188118811881188,0.00820209712597812,0.881188118811881
"Unknown.053",1.06984174610633,0.237623762376238,0.00636829585613203,0.653465346534653
"citric.acid",1.05365789556756,0.425742574257426,0.00890570658733749,0.366336633663366
"Unknown.163",1.05324887147219,0.207920792079208,0.00226927695242711,0.910891089108911
"thymine",1.04992093788886,0.336633663366337,0.00739504139160891,0.564356435643564
"chlorogenic.acid",1.04972317540275,0.267326732673267,0.00246376572879618,1
"Unknown.149",1.02428375975371,0.178217821782178,0.000422645787567943,0.95049504950495
"Unknown.171",1.00016725706359,0.128712871287129,0.000686336242865626,0.910891089108911
"Unknown.119",0.985737597694141,0.237623762376238,0.0023772659971377,0.99009900990099
"L.tyrosine",0.930465271473627,0.336633663366337,0.00472343948500609,0.930693069306931
"Unknown.066",0.911838209625695,0.415841584158416,0.00516449308334198,0.712871287128713
"Unknown.152",0.902056524810404,0.336633663366337,0.00475807565905615,0.821782178217822
"X1.3.diaminopropane",0.896700424739344,0.306930693069307,0.00355576339684426,0.930693069306931
"Unknown.054",0.891956636138374,0.356435643564356,0.0153304448364122,0.405940594059406
"galactitol",0.853916711673187,0.217821782178218,0.0035118872266453,0.227722772277228
"Unknown.112",0.850896515620324,0.475247524752475,0.000673526725033751,1
"Unknown.076",0.839812299611929,0.376237623762376,0.00340059251933112,0.95049504950495
"Unknown.110",0.836775204387066,0.445544554455446,0.00196809748401717,0.881188118811881
"Unknown.056",0.828882773840707,0.346534653465347,0.00143462431988011,1
"Unknown.178",0.785858323896246,0.336633663366337,0.00657951035187031,0.772277227722772
"L.leucine",0.780397101326566,0.227722772277228,0.00424019886244381,0.98019801980198
"Unknown.021",0.754758967532312,0.227722772277228,0.00148381050364927,0.722772277227723
"Unknown.011",0.747149396170043,0.445544554455446,0.0093134877728746,0.435643564356436
"Unknown.097",0.74458015534341,0.297029702970297,0.00345873607524838,0.752475247524752
"Unknown.008",0.737243000409353,0.356435643564356,0.00687044923311361,0.910891089108911
"Unknown.073",0.705642881198785,0.415841584158416,0.00291514179900084,0.98019801980198
"fumaric.acid",0.697776147850544,0.405940594059406,0.00961868203166815,0.356435643564356
"Unknown.085",0.686522537500341,0.465346534653465,0.00399839255954046,0.900990099009901
"Unknown.082",0.669776335581954,0.366336633663366,0.0015540738978908,1
"methylmaleic.acid.",0.661261923800164,0.544554455445545,0.00299536797102766,0.871287128712871
"Unknown.135",0.63865802850223,0.346534653465347,0.00364739412279482,0.732673267326733
